id,tick,fire_entity,jump_entity,hurt_entity,flashed_entity,footstep_entity,swap_team_entity,kill_killer,kill_victim,kill_weapon,kill_assister,round_started,current_round,round_ended_winner,round_ended_reason
1,32230,,6,,,,,,,,,,4,,
1,32259,8,,,,,,,,,,,4,,
1,32453,,4,,,,,,,,,,4,,
1,32483,10,10,,,,,,,,,,4,,
1,32533,,2,,,,,,,,,,4,,
1,32580,,7,,,,,,,,,,4,,
1,32670,10,,,,,,,,,,,4,,
1,32673,,10,,,,,,,,,,4,,
1,32685,,9,,,,,,,,,,4,,
1,32692,9,,,,,,,,,,,4,,
1,32759,9,,,,,,,,,,,4,,
1,32866,10,,,,,,,,,,,4,,
1,32869,,10,,,,,,,,,,4,,
1,32892,,,,10,,,,,,,,4,,
1,33040,,5,,,,,,,,,,4,,
1,33059,8,8,,,,,,,,,,4,,
1,33078,12,,,,,,,,,,,4,,
1,33088,,,,12,,,,,,,,4,,
1,33123,3,,,,,,,,,,,4,,
1,33135,,5,,,,,,,,,,4,,
1,33282,,,,12,,,,,,,,4,,
1,33286,8,,,,,,,,,,,4,,
1,33300,,,,7,,,,,,,,4,,
1,33304,5,,,,,,,,,,,4,,
1,33307,9,,,,,,,,,,,4,,
1,33314,7,,,,,,,,,,,4,,
1,33340,,4,,,,,,,,,,4,,
1,33395,,7,,,,,,,,,,4,,
1,33470,9,,,,,,,,,,,4,,
1,33493,,10,,,,,,,,,,4,,
1,33510,,,,12,,,,,,,,4,,
1,33530,,,,5,,,,,,,,4,,
1,33536,,,9,,,,,,,,,4,,
1,33583,,8,,,,,,,,,,4,,
1,33629,9,,,,,,,,,,,4,,
1,33692,,,,7,,,,,,,,4,,
1,33721,7,,,,,,,,,,,4,,
1,33734,7,,,,,,,,,,,4,,
1,33887,,4,,,,,,,,,,4,,
1,34092,,3,,,,,,,,,,4,,
1,34095,12,,,,,,,,,,,4,,
1,34136,,5,,,,,,,,,,4,,
1,34208,9,,,,,,,,,,,4,,
1,34218,,5,,,,,,,,,,4,,
1,34221,4,,,,,,,,,,,4,,
1,34236,2,,,,,,,,,,,4,,
1,34254,9,,,,,,,,,,,4,,
1,34280,12,,,,,,,,,,,4,,
1,34289,9,,,,,,,,,,,4,,
1,34314,,6,,,,,,,,,,4,,
1,34319,9,,,,,,,,,,,4,,
1,34348,9,,,,,,,,,,,4,,
1,34376,9,,,,,,,,,,,4,,
1,34406,9,,,,,,,,,,,4,,
1,34459,,2,,,,,,,,,,4,,
1,34560,3,,,,,,,,,,,4,,
1,34578,8,,,,,,,,,,,4,,
1,34648,7,,,,,,,,,,,4,,
1,34733,3,,,,,,,,,,,4,,
1,34742,9,,,,,,,,,,,4,,
1,34771,9,,,,,,,,,,,4,,
1,34783,,,2,,,,,,,,,4,,
1,34800,9,,,,,,,,,,,4,,
1,34815,7,,,,,,,,,,,4,,
1,34828,7,,,,,,,,,,,4,,
1,34829,9,,,,,,,,,,,4,,
